bandwidth,runtype,ratio,MTBF
6.0625e+12,PropDaly,0.795484,3.1536e+08
6.0625e+12,FCFS1h,0.806481,3.1536e+08
6.0625e+12,Prop1h,0.78321,3.1536e+08
6.0625e+12,PropDaly,0.816379,3.1536e+08
4.9375e+12,FCFS1h,0.799646,3.1536e+08
1.07031e+13,Prop1h,0.791927,3.1536e+08
1.07031e+13,PropDaly,0.815332,3.1536e+08
8.3125e+12,FCFS1h,0.782473,3.1536e+08
1.21094e+13,Prop1h,0.805192,3.1536e+08
1.07031e+13,PropDaly,0.795061,3.1536e+08
6.0625e+12,Prop1h,0.813122,3.1536e+08
4.9375e+12,PropDaly,0.807127,3.1536e+08
8.3125e+12,Prop1h,0.806101,3.1536e+08
8.3125e+12,PropDaly,0.810328,3.1536e+08
7.1875e+12,FCFS1h,0.812401,3.1536e+08
8.3125e+12,Prop1h,0.81048,3.1536e+08
7.1875e+12,PropDaly,0.802274,3.1536e+08
6.0625e+12,FCFS1h,0.799291,3.1536e+08
6.0625e+12,FCFSDaly,0.807394,3.1536e+08
7.1875e+12,BlockingFCFS1h,0.795351,3.1536e+08
6.0625e+12,BlockingFCFSDaly,0.793207,3.1536e+08
6.0625e+12,Coop,0.80794,3.1536e+08
7.1875e+12,Prop1h,0.803224,3.1536e+08
6.0625e+12,PropDaly,0.79439,3.1536e+08
6.0625e+12,FCFS1h,0.805593,3.1536e+08
4.9375e+12,FCFSDaly,0.80715,3.1536e+08
6.0625e+12,BlockingFCFS1h,0.789872,3.1536e+08
6.0625e+12,BlockingFCFSDaly,0.802126,3.1536e+08
4.9375e+12,Coop,0.795415,3.1536e+08
7.1875e+12,Prop1h,0.77694,3.1536e+08
6.0625e+12,PropDaly,0.791746,3.1536e+08
6.0625e+12,FCFS1h,0.796338,3.1536e+08
6.0625e+12,FCFSDaly,0.807448,3.1536e+08
7.1875e+12,BlockingFCFS1h,0.822534,3.1536e+08
7.1875e+12,BlockingFCFSDaly,0.784741,3.1536e+08
4.9375e+12,Coop,0.789847,3.1536e+08
1.07031e+13,Prop1h,0.804319,3.1536e+08
1.07031e+13,PropDaly,0.80317,3.1536e+08
8.3125e+12,FCFS1h,0.796283,3.1536e+08
8.3125e+12,FCFSDaly,0.800805,3.1536e+08
9.4375e+12,BlockingFCFS1h,0.805194,3.1536e+08
9.4375e+12,BlockingFCFSDaly,0.805137,3.1536e+08
8.3125e+12,Coop,0.799798,3.1536e+08
6.0625e+12,Prop1h,0.807002,3.1536e+08
4.9375e+12,PropDaly,0.800895,3.1536e+08
4.9375e+12,FCFS1h,0.828569,3.1536e+08
3.8125e+12,FCFSDaly,0.773779,3.1536e+08
6.0625e+12,BlockingFCFS1h,0.809054,3.1536e+08
4.9375e+12,BlockingFCFSDaly,0.803757,3.1536e+08
3.8125e+12,Coop,0.773896,3.1536e+08
7.1875e+12,Prop1h,0.783647,3.1536e+08
6.0625e+12,PropDaly,0.777236,3.1536e+08
6.0625e+12,FCFS1h,0.771802,3.1536e+08
6.0625e+12,FCFSDaly,0.800987,3.1536e+08
8.3125e+12,BlockingFCFS1h,0.804263,3.1536e+08
7.1875e+12,BlockingFCFSDaly,0.814079,3.1536e+08
4.9375e+12,Coop,0.771956,3.1536e+08
9.4375e+12,Prop1h,0.807857,3.1536e+08
8.3125e+12,PropDaly,0.802545,3.1536e+08
7.1875e+12,FCFS1h,0.79511,3.1536e+08
7.1875e+12,FCFSDaly,0.802952,3.1536e+08
9.4375e+12,BlockingFCFS1h,0.809622,3.1536e+08
8.3125e+12,BlockingFCFSDaly,0.807843,3.1536e+08
7.1875e+12,Coop,0.808924,3.1536e+08
8.3125e+12,Prop1h,0.788304,3.1536e+08
8.3125e+12,PropDaly,0.802512,3.1536e+08
7.1875e+12,FCFS1h,0.80564,3.1536e+08
7.1875e+12,FCFSDaly,0.802743,3.1536e+08
9.4375e+12,BlockingFCFS1h,0.800403,3.1536e+08
7.1875e+12,BlockingFCFSDaly,0.79816,3.1536e+08
7.1875e+12,Coop,0.806027,3.1536e+08
7.1875e+12,Prop1h,0.795396,3.1536e+08
7.1875e+12,PropDaly,0.806041,3.1536e+08
6.0625e+12,FCFS1h,0.809029,3.1536e+08
4.9375e+12,FCFSDaly,0.791805,3.1536e+08
7.1875e+12,BlockingFCFS1h,0.797163,3.1536e+08
6.0625e+12,BlockingFCFSDaly,0.800068,3.1536e+08
4.9375e+12,Coop,0.789877,3.1536e+08
9.4375e+12,Prop1h,0.796789,3.1536e+08
9.4375e+12,PropDaly,0.802074,3.1536e+08
7.1875e+12,FCFS1h,0.786685,3.1536e+08
7.1875e+12,FCFSDaly,0.79956,3.1536e+08
9.4375e+12,BlockingFCFS1h,0.791036,3.1536e+08
8.3125e+12,BlockingFCFSDaly,0.801573,3.1536e+08
7.1875e+12,Coop,0.80213,3.1536e+08
7.1875e+12,Prop1h,0.804445,3.1536e+08
6.0625e+12,PropDaly,0.779521,3.1536e+08
4.9375e+12,FCFS1h,0.793447,3.1536e+08
4.9375e+12,FCFSDaly,0.79015,3.1536e+08
6.0625e+12,BlockingFCFS1h,0.781848,3.1536e+08
6.0625e+12,BlockingFCFSDaly,0.779948,3.1536e+08
6.0625e+12,Coop,0.798045,3.1536e+08
9.4375e+12,Prop1h,0.798742,3.1536e+08
8.3125e+12,PropDaly,0.803735,3.1536e+08
7.1875e+12,FCFS1h,0.799024,3.1536e+08
6.0625e+12,FCFSDaly,0.780237,3.1536e+08
8.3125e+12,BlockingFCFS1h,0.788091,3.1536e+08
7.1875e+12,BlockingFCFSDaly,0.793833,3.1536e+08
6.0625e+12,Coop,0.785407,3.1536e+08
1.21094e+13,Prop1h,0.800135,3.1536e+08
1.21094e+13,PropDaly,0.794283,3.1536e+08
1.07031e+13,FCFS1h,0.820775,3.1536e+08
1.07031e+13,FCFSDaly,0.816584,3.1536e+08
1.21094e+13,BlockingFCFS1h,0.801029,3.1536e+08
1.07031e+13,BlockingFCFSDaly,0.809353,3.1536e+08
1.07031e+13,Coop,0.80103,3.1536e+08
9.4375e+12,Prop1h,0.783445,3.1536e+08
9.4375e+12,PropDaly,0.803628,3.1536e+08
8.3125e+12,FCFS1h,0.807687,3.1536e+08
8.3125e+12,Prop1h,0.802989,3.1536e+08
8.3125e+12,Prop1h,0.797018,3.1536e+08
6.0625e+12,Prop1h,0.807658,3.1536e+08
9.4375e+12,Prop1h,0.784476,3.1536e+08
6.0625e+12,Prop1h,0.771904,3.1536e+08
8.3125e+12,Prop1h,0.797103,3.1536e+08
8.3125e+12,Prop1h,0.79349,3.1536e+08
9.4375e+12,Prop1h,0.79204,3.1536e+08
6.0625e+12,Prop1h,0.790717,3.1536e+08
7.1875e+12,Prop1h,0.794085,3.1536e+08
7.1875e+12,Prop1h,0.802353,3.1536e+08
9.4375e+12,Prop1h,0.799891,3.1536e+08
8.3125e+12,Prop1h,0.797436,3.1536e+08
6.0625e+12,Prop1h,0.793592,3.1536e+08
9.4375e+12,Prop1h,0.807432,3.1536e+08
9.4375e+12,Prop1h,0.788174,3.1536e+08
1.07031e+13,Prop1h,0.79705,3.1536e+08
