	ckpt_intvl	sfs_bw	bb_bw	sys_mtbf	low_bound	avg	high_bound
178	1h	90000000000.0	10000000000.0	50400.0	-0.0001703277444345954	0.0001864322948808971	0.0008028868221470684
179	1h	90000000000.0	10000000000.0	46800.0	-0.0002128956562036982	9.490411727193547e-05	0.001034531597719372
180	1h	90000000000.0	10000000000.0	43200.0	-0.00017330496571967805	0.00010510792273311334	0.0008185743266640381
181	1h	90000000000.0	10000000000.0	39600.0	-0.0002865844026331397	6.943523133084214e-05	0.00101770341627951
182	1h	90000000000.0	10000000000.0	36000.0	-0.00017154627280393413	0.0005647040343668729	0.0016234173533669835
183	1h	90000000000.0	10000000000.0	32400.0	-0.0002838131861611976	0.00040726854484237295	0.0013927590574841341
184	1h	90000000000.0	10000000000.0	28800.0	-0.00012194709750715954	0.000896870977825738	0.0024235329161033216
185	1h	90000000000.0	10000000000.0	25200.0	-8.542038544074237e-06	0.0011517380959886329	0.0024450791920287815
186	1h	90000000000.0	10000000000.0	21600.0	0.0003874500989825315	0.0014084755638637842	0.0031076159750490348
187	1h	90000000000.0	10000000000.0	18000.0	0.0008392467029060798	0.0024358304173745307	0.004014632729462675
188	1h	90000000000.0	10000000000.0	14400.0	0.0017734069550147114	0.0040112995177034975	0.006768630988307716
189	1h	90000000000.0	10000000000.0	10800.0	0.004114062168568803	0.008009811686426964	0.011485506690134737
190	1h	90000000000.0	10000000000.0	7200.0	0.01202208861657537	0.01711727743834233	0.023777035758120048
191	1h	90000000000.0	10000000000.0	3600.0	0.03675077346383137	0.053534054087061474	0.06672909176517049
192	1h	80000000000.0	10000000000.0	86400.0	2.5743594574470442e-05	3.658044612566726e-05	0.000934113330667323
193	1h	80000000000.0	10000000000.0	82800.0	1.5818268749412878e-05	0.00021040969113644565	0.000790979984765753
194	1h	80000000000.0	10000000000.0	79200.0	-7.623162659558028e-06	0.00032429840788777324	0.0010024542355095054
195	1h	80000000000.0	10000000000.0	75600.0	-2.1858983994435283e-05	1.3577217162870987e-05	0.0007963045225091946
196	1h	80000000000.0	10000000000.0	72000.0	-3.7065188219449654e-05	0.00027524379400875284	0.001112773767893846
197	1h	80000000000.0	10000000000.0	68400.0	-8.790636149374884e-05	-0.000251024691278725	0.0008688029221759245
198	1h	80000000000.0	10000000000.0	64800.0	-7.740872715494027e-05	-0.00022970053776002802	0.0008533296915943584
199	1h	80000000000.0	10000000000.0	61200.0	-0.00010416672774567101	0.00027230432035365757	0.0009051358976950288
200	1h	80000000000.0	10000000000.0	57600.0	-0.00011617173788629914	0.00034787964299484047	0.0009670241534848325
201	1h	80000000000.0	10000000000.0	54000.0	-0.00019454253800459624	0.0003675309665735413	0.0008938644948912947
202	1h	80000000000.0	10000000000.0	50400.0	-0.00015593628035928534	-2.226588131000115e-05	0.0010467469804367948
203	1h	80000000000.0	10000000000.0	46800.0	-0.00017095312246849178	9.009751021071865e-05	0.00149247640781887
204	1h	80000000000.0	10000000000.0	43200.0	-0.0001082668659841328	0.0005321121052586895	0.0019866322528168962
205	1h	80000000000.0	10000000000.0	39600.0	-0.00020087384634635917	0.0003780425606577419	0.0021372646038942096
206	1h	80000000000.0	10000000000.0	36000.0	-2.4540067978977894e-06	0.0010011817873857584	0.0019656033485746013
207	1h	80000000000.0	10000000000.0	32400.0	-7.272185432897994e-06	0.0008420103093203016	0.002454396025945072
208	1h	80000000000.0	10000000000.0	28800.0	1.8018826974639012e-06	0.0014550026642545183	0.0034071869306980355
209	1h	80000000000.0	10000000000.0	25200.0	0.0004578114210815596	0.0016071974052599342	0.0037571324227312014
210	1h	80000000000.0	10000000000.0	21600.0	0.0008758719329795641	0.002688520795129462	0.0053777861261007824
211	1h	80000000000.0	10000000000.0	18000.0	0.0015243046012300661	0.004567219531295488	0.007417413226242522
212	1h	80000000000.0	10000000000.0	14400.0	0.0025200458580492023	0.006565994853960642	0.010780936232980366
